|Unnamed: 0|age_range|earn|burn|fl_earn|fl_burn|cc_earn|cc_burn|ot_earn|ot_burn|fl_r_rate|cc_r_rate|ot_r_rate|r_rate
0|0|0-1|1509076858|-2219418544|230715678.38199764|-124512939.0850898|478296904.4864844|-25081.77636160991|58340473.58160158|-378531.0255512517|0.5396813079990723|5.243976309764863e-05|0.0064883090985162|1.4707127289337838
1|1|1-5|2740588187|-9717669160|394493260.1523302|-573483772.4159626|603840133.8461773|-170078.4821065732|88718167.07831|-1954851.923471073|1.4537226116221014|0.000281661440791|0.0220344038639296|3.5458334112712864
5|5|5-10|3705681321|-22533145968|559512270.4357094|-1367191088.788036|641035329.2309992|-394395.7086171261|141217801.39397863|-4585323.508039504|2.443540849825085|0.0006152480068302|0.032469868973863|6.080702579659305
2|2|10-20|11540969566|-85190500788|1406038626.9877975|-4976261076.790785|2799923044.846863|-574749.7111759932|765192696.6678694|-8102884.012343793|3.539206520557398|0.0002052733957219|0.0105893378852527|7.381572258796475
3|3|20-30|9966503852|-74491869791|1494264418.808465|-3993902034.472717|2292157214.214273|-93972.04143251546|685181510.1671358|-2227447.3264830625|2.672821479385474|4.09972059725092e-05|0.0032508865073427|7.474222746229266
4|4|30-40|1454889|-14492906|94236.27253213844|-486041.4480692778|214945.52895800123|-18.834893974329145|59090.17878766046|-505.5568496414764|5.157689656108986|8.762635848084722e-05|0.0085556831949719|9.961520088474105
